Iridium, choker, Starlet, Tall, Slim, Diamond-Shaped Face, Olive Skin, Chestnut Hair, blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Straight Bob with Layers, augmented breasts, Threader earrings, red, velvet lipstick, Lavender Lace Bra and Panty Set 
Gold, brooch pin, Seductress, Short, Thin, Round Face, Fair Skin, Silver Hair, Blue Eyes with Green Flecks, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Messy Bun, firm breasts, Faux gauge earrings, black, cream lipstick, Green Satin Robe with Lace Trim
Rhenium, pearl necklace, Female Viking, Short, Narrow Hips, Triangular Face, Tan Skin, White Hair, purple Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Voluminous Waves, firm breasts, Clip-on earrings, cherry, satin lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Cadmium, friendship bracelet, Charmer, Average Height, Toned, Heart-Shaped Face, Tan Skin, Platinum Blonde Hair, aquamarine Eyes, Straight Nose, Pouty Lips, Round Chin, Long Hair, Straight Hair, Messy Bun, perky breasts, Huggie earrings, burgundy, gloss lipstick, Green Satin and Lace Garter Belt with Matching Thong
Palladium, beaded necklace, Queen, Tall, Skinny, Oval Face, Dark Skin, Red Hair, Gray Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Blunt Cut Bangs, natural breasts, Threader earrings, orange, gloss lipstick, Red Satin Babydoll
Iridium, pendant, Miss, Tall, Wide Hips, Diamond-Shaped Face, Dark Skin, Red Hair, aquamarine Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Chignon, saggy breasts, Cuff earrings, brown, cream lipstick, Gold Strappy Bodysuit
Cadmium, flower brooch, Artist, Average Height, Narrow Hips, Oval Face, Fair Skin, Gray Hair, Brown Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Shaggy Cut, perky breasts, Faux gauge earrings, mauve, velvet lipstick, Charcoal Sheer Bra and Panty Set
Palladium, cuff bracelet, Duchess, Tall, Toned, Oval Face, Olive Skin, Blonde Hair, Brown Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Double Braided Crown, perky breasts, Hoop earrings, grape, satin lipstick, Ivory Lace Teddy
Iridium, flower brooch, Woman, Short, Lean, Heart-Shaped Face, Dark Skin, Brunette Hair, aquamarine Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Straight Bob with Layers, full breasts, Faux gauge earrings, burgundy, cream lipstick, Fuchsia Mesh Halter Bra and Panty Set
Gallium, beaded bracelet, Superwoman, Tall, Toned, Square Face, Tan Skin, Strawberry Blonde Hair, amethyst Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Straight Hair, Rope Braid, round breasts, Threader earrings, rose, gloss lipstick, Pink Floral Corset
Cadmium, pendant, Enchantress, Short, Fit, Diamond-Shaped Face, Tan Skin, Honey Blonde Hair, light blue Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, French Roll, saggy breasts, Huggie earrings, pink, metallic lipstick, Cream Sequin Bra and Pant Set
Cadmium, animal brooch, Female Warrior, Tall, Toned, Square Face, Fair Skin, Black Hair, amber Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Curly Hair, French Roll, augmented breasts, Hoop earrings, soft pink, cream lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Rhenium, anklet, Artist, Short, Skinny, Heart-Shaped Face, Tan Skin, Honey Blonde Hair, Amber Eyes, Short Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Half Up Half Down, firm breasts, Huggie earrings, berry, velvet lipstick, Pink Lace Garter Slip with Matching Thong
Iridium, tennis bracelet, Sensation, Average Height, Thin, Triangular Face, Fair Skin, Brunette Hair, Amber Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, Side Bangs, asymmetrical breasts, Threader earrings, light pink, matte lipstick, Teal Velvet Chemise with Ruffles 
Beryllium, toe ring, Heiress, Short, Slim, Triangular Face, Fair Skin, Dark Brown Hair, teal Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Formal Updo, soft breasts, Hoop earrings, terracotta, stain lipstick, Red Satin Kimono with Lace Sleeve Detail
Radium, torc necklace, Superwoman, Average Height, Skinny, Square Face, Tan Skin, Golden Blonde Hair, Gray Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Middle Part Bangs, asymmetrical breasts, Threader earrings, magenta, cream lipstick, Olive Green Mesh Garter Belt with Stockings
Germanium, ankle strap, Seductress, Tall, Lean, Round Face, Tan Skin, Chestnut Hair, Blue Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, Viking Braid, perky breasts, Hoop earrings, lavender, cream lipstick, Crimson Velvet Cami and Short Set 
Rhenium, toe ring, Enigma, Short, Toned, Square Face, Tan Skin, Auburn Hair, Green Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Short Afro, round breasts, Drop earrings, beige, sheer lipstick, Green Silk Bralette and Panty Set
Rhodium, tennis necklace, Femme fatale, Average Height, Slim, Square Face, Olive Skin, Chestnut Hair, Amber Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Fishtail Crown Braid, round breasts, Cuff earrings, cherry, gloss lipstick, Maroon Satin and Lace Corset 
Silver, beaded bracelet, Seductress, Tall, Fit, Round Face, Fair Skin, Brunette Hair, grey Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Tapered Afro, small breasts, Huggie earrings, cherry, cream lipstick, Ivory Lace Teddy
Silver, friendship bracelet, Madame, Average Height, Wide Hips, Round Face, Dark Skin, Black Hair, green Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Fishbone Braid, asymmetrical breasts, Drop earrings, pink, cream lipstick, Purple Velvet Robe with Fur Trim 
Platinum, cuff bracelet, Woman, Short, Wide Hips, Square Face, Olive Skin, Gray Hair, teal Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Long Hair, Straight Hair, Sleek Waves, firm breasts, Hoop earrings, cherry, cream lipstick, Black Mesh Bodysuit with Embroidered Flowers
Rhenium, ankle bracelet, Chanteuse, Average Height, in shape, Oval Face, Fair Skin, Light Brown Hair, blue Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Dutch Braid, augmented breasts, Dangle earrings, coral, gloss lipstick, Purple Velvet Robe with Fur Trim 
Iridium, torc necklace, Vixen, Tall, Wide Hips, Round Face, Fair Skin, Dark Brown Hair, Blue Eyes with Green Flecks, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Wavy Hair, Twisted Bun, firm breasts, Hoop earrings, fuchsia, cream lipstick, Blue Sheer Babydoll with Satin Trim
Osmium, cocktail ring, Maven, Tall, Firm, Triangular Face, Tan Skin, Brunette Hair, Blue Eyes with Green Flecks, Short Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Fishtail Crown Braid, firm breasts, Threader earrings, black, velvet lipstick, Blue Satin and Lace Cami and Short Set
Osmium, beaded bracelet, Duchess, Average Height, Skinny, Round Face, Olive Skin, Black Hair, Brown Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Shoulder-Length Curls, small breasts, Stud earrings, cherry, matte lipstick, Black Sheer Teddy with Floral Applique
Palladium, brooch pin, Heiress, Average Height, Toned, Heart-Shaped Face, Fair Skin, Silver Hair, silver Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Dutch Braid, large breasts, Faux gauge earrings, red, cream lipstick, Teal Velvet Chemise with Ruffles 
Osmium, flower brooch, Gal, Short, Athletic, Square Face, Dark Skin, Red Hair, red Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Curly Afro, large breasts, Huggie earrings, rust, matte lipstick, Black Cutout Bodysuit with Zipper
Indium, chain bracelet, Luminary, Short, Wide Hips, Round Face, Dark Skin, Golden Blonde Hair, Blue Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Straight Updo, firm breasts, Cuff earrings, peach, cream lipstick, Fuchsia Mesh Halter Bra and Panty Set
Radium, ankle cuff, Seductress, Tall, Narrow Hips, Square Face, Tan Skin, Chestnut Hair, grey Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Curly Hair, Straight Bob, large breasts, Threader earrings, rose, matte lipstick, Red Mesh Chemise with Strappy Back Detail
Gallium, tennis bracelet, Luminary, Tall, Toned, Triangular Face, Dark Skin, Platinum Blonde Hair, dark brown Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Fauxhawk, round breasts, Threader earrings, magenta, metallic lipstick, Red Satin Kimono with Lace Sleeve Detail
Osmium, tennis bracelet, Sensation, Short, Lean, Heart-Shaped Face, Tan Skin, White Hair, silver Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Fishbone Braid, asymmetrical breasts, Faux gauge earrings, coral, stain lipstick, Purple Mesh Babydoll with Matching G-String
Germanium, cocktail ring, Vixen, Tall, Athletic, Round Face, Olive Skin, Silver Hair, hazel Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Wavy Hair, High Ponytail, large breasts, Faux gauge earrings, soft pink, metallic lipstick, White Lace Bralette and Boyshorts Set
Ruthenium, torc necklace, Luminary, Average Height, Slim, Oval Face, Dark Skin, Chestnut Hair, Blue Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Curly Hair, Fluffy Afro, saggy breasts, Hoop earrings, red, gloss lipstick, Silver Silk Bra and Panty Set with Garter Belt
Indium, charm bracelet, Luminary, Tall, Toned, Oval Face, Tan Skin, Golden Blonde Hair, red Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Angled Bob, perky breasts, Drop earrings, brown, metallic lipstick, Turquoise Sheer Chemise with Cutouts
Osmium, animal brooch, Mistress, Average Height, in shape, Diamond-Shaped Face, Tan Skin, Silver Hair, light blue Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Straight Hair, High Bun, full breasts, Cuff earrings, magenta, stain lipstick, Yellow Lace Halter Bralette and Thong Set
Ruthenium, animal brooch, Queen, Tall, Athletic, Diamond-Shaped Face, Olive Skin, Black Hair, Green Eyes, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Beach Waves, firm breasts, Faux gauge earrings, berry, velvet lipstick, Green Sequin Slip Dress with Thigh-High Slits
Gallium, choker, Empress, Tall, Thin, Square Face, Olive Skin, Chestnut Hair, silver Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Shoulder-Length Curls, natural breasts, Stud earrings, fuchsia, sheer lipstick, Red Satin Kimono with Lace Sleeve Detail
Platinum, ankle strap, Seductress, Average Height, in shape, Oval Face, Fair Skin, Brunette Hair, amethyst Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Wavy Updo, soft breasts, Huggie earrings, red, gloss lipstick, Crimson Velvet Cami and Short Set 
Gold, bracelet, Gal, Tall, Fit, Heart-Shaped Face, Dark Skin, Platinum Blonde Hair, dark brown Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Shaggy Cut, full breasts, Huggie earrings, nude, sheer lipstick, Green Silk Bralette and Panty Set
Iridium, toggle bracelet, Female Viking, Short, Athletic, Oval Face, Tan Skin, Platinum Blonde Hair, aquamarine Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Four-Strand Braid, soft breasts, Dangle earrings, cherry, gloss lipstick, Teal Velvet Chemise with Ruffles 
Palladium, beaded bracelet, Enchantress, Average Height, Firm, Round Face, Olive Skin, White Hair, Hazel Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Curly Hair, Chignon, saggy breasts, Clip-on earrings, berry, matte lipstick, Red Mesh Chemise with Strappy Back Detail
Iridium, ankle cuff, Miss, Tall, in shape, Triangular Face, Fair Skin, Honey Blonde Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Coarse Hair, Straight Bob with Layers, saggy breasts, Huggie earrings, coral, metallic lipstick, Black Leather Bralette and Panty Set
Rhodium, flower brooch, Dame, Short, Wide Hips, Oval Face, Tan Skin, Chestnut Hair, peach Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Tapered Afro, small breasts, Hoop earrings, magenta, satin lipstick, Red Satin Babydoll
Rhenium, brooch pin, Seductress, Average Height, Lean, Heart-Shaped Face, Tan Skin, Brunette Hair, Hazel Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Straight Bob with Layers, asymmetrical breasts, Faux gauge earrings, shimmer, stain lipstick, Green Satin and Lace Garter Belt with Matching Thong
Germanium, brooch, Duchess, Average Height, Skinny, Heart-Shaped Face, Dark Skin, Golden Blonde Hair, Gray Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Low Ponytail, firm breasts, Faux gauge earrings, cherry, matte lipstick, Pink Lace Garter Slip with Matching Thong
Rhenium, cuff bracelet, Enchantress, Average Height, Lean, Oval Face, Tan Skin, Strawberry Blonde Hair, Gray Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Sleek Bun, saggy breasts, Dangle earrings, orange, matte lipstick, Pink Lace Garter Slip with Matching Thong
Beryllium, locket necklace, Luminary, Average Height, Toned, Square Face, Dark Skin, Red Hair, ice blue Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Fishtail Braid, round breasts, Huggie earrings, grape, velvet lipstick, Black Leather Bralette and Panty Set
Indium, animal brooch, Phenom, Tall, Fit, Triangular Face, Fair Skin, White Hair, blue Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Double Braided Crown, large breasts, Dangle earrings, grape, stain lipstick, Purple Velvet Slip with Lace Trim
Platinum, ankle strap, Phenom, Tall, in shape, Triangular Face, Olive Skin, Chestnut Hair, light blue Eyes, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Updo, asymmetrical breasts, Drop earrings, cherry, satin lipstick, Turquoise Sheer Chemise with Cutouts
Platinum, ankle bracelet, Dame, Average Height, in shape, Round Face, Fair Skin, Golden Blonde Hair, gold Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Curly Hair, Wavy Layered Bob, full breasts, Faux gauge earrings, fuchsia, metallic lipstick, Fuchsia Mesh Halter Bra and Panty Set
Tantalum, statement necklace, Dame, Short, Firm, Oval Face, Olive Skin, Light Brown Hair, amethyst Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Four-Strand Braid, augmented breasts, Stud earrings, nude, velvet lipstick, Yellow Lace Garter Belt 
Gallium, slave bracelet, Starlet, Average Height, Wide Hips, Heart-Shaped Face, Fair Skin, Red Hair, hazel Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Curly Hair, Wedding Updo, soft breasts, Dangle earrings, rose, matte lipstick, Green Sequin Slip Dress with Thigh-High Slits
Radium, toe ring, Countess, Average Height, Fit, Triangular Face, Dark Skin, Golden Blonde Hair, jade Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Straight Hair, High Chignon, small breasts, Huggie earrings, hot pink, stain lipstick, Red Satin Babydoll
Osmium, animal brooch, Femme fatale, Tall, Athletic, Diamond-Shaped Face, Tan Skin, Strawberry Blonde Hair, silver Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Messy Beach Waves, full breasts, Stud earrings, red, sheer lipstick, Blue Satin and Lace Cami and Short Set
Rhodium, bracelet, Female Viking, Tall, Athletic, Triangular Face, Olive Skin, Silver Hair, brown Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Sock Bun, natural breasts, Drop earrings, golden, satin lipstick, Blue Strappy Bodysuit with Cutouts
Gallium, charm bracelet, Belle, Average Height, Toned, Round Face, Dark Skin, Honey Blonde Hair, blue Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Fine Hair, French Roll, asymmetrical breasts, Threader earrings, mauve, matte lipstick, White Satin and Lace Bra and Panty Set
Gold, brooch, Temptress, Short, Athletic, Heart-Shaped Face, Fair Skin, Auburn Hair, Sapphire Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Bouncy Curls, round breasts, Hoop earrings, cherry, metallic lipstick, Blue Sheer Babydoll with Satin Trim
Beryllium, brooch, Visionary, Average Height, Toned, Triangular Face, Dark Skin, Silver Hair, ice blue Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Straight Hair, Half Up Half Down, natural breasts, Stud earrings, teal, satin lipstick, Black Cutout Bodysuit with Zipper
Iridium, choker, Dame, Average Height, Narrow Hips, Triangular Face, Fair Skin, Golden Blonde Hair, turquoise Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Braided Headband, natural breasts, Hoop earrings, fuchsia, gloss lipstick, Grey Faux Leather Corset 
Radium, beaded bracelet, Dame, Average Height, Wide Hips, Square Face, Tan Skin, White Hair, ruby Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, French Braid, soft breasts, Stud earrings, black, cream lipstick, Blue Sheer Babydoll with Satin Trim
Cadmium, multi-strand necklace, Baroness, Tall, Lean, Diamond-Shaped Face, Tan Skin, Red Hair, Hazel Eyes with Green Flecks, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Straight Hair, Low Chignon, asymmetrical breasts, Drop earrings, cherry, matte lipstick, Yellow Lace Halter Bralette and Thong Set
Gold, pendant, Diva, Average Height, in shape, Triangular Face, Tan Skin, Gray Hair, Blue Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Fauxhawk, firm breasts, Huggie earrings, pink, velvet lipstick, Purple Mesh Babydoll with Matching G-String
Germanium, watch bracelet, Madam, Short, Fit, Square Face, Fair Skin, Chestnut Hair, grey Eyes, Long Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Side-Swept Bangs, perky breasts, Threader earrings, pink, gloss lipstick, Fuchsia Mesh Halter Bra and Panty Set
Beryllium, slave bracelet, Vixen, Average Height, Fit, Diamond-Shaped Face, Tan Skin, Auburn Hair, red Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Afro, augmented breasts, Hoop earrings, rust, velvet lipstick, Turquoise Sheer Chemise with Cutouts
Silver, flower brooch, Superwoman, Short, Narrow Hips, Triangular Face, Dark Skin, Red Hair, Hazel Eyes with Green Flecks, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Afro, augmented breasts, Stud earrings, golden, sheer lipstick, Black Mesh Bodysuit with Embroidered Flowers
Palladium, bangle bracelet, Empress, Average Height, Wide Hips, Heart-Shaped Face, Tan Skin, Chestnut Hair, peach Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Double Braided Crown, asymmetrical breasts, Drop earrings, golden, stain lipstick, Red Lace Bra and Panty Set with Garter Belt
Osmium, ankle cuff, Luminary, Short, Skinny, Diamond-Shaped Face, Fair Skin, Blonde Hair, brown Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, French Roll, small breasts, Cuff earrings, rust, velvet lipstick, Black Sheer Teddy with Floral Applique
Radium, multi-strand necklace, Woman, Tall, Lean, Diamond-Shaped Face, Fair Skin, Red Hair, Amber Eyes, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Curly Hair, Wedding Updo, augmented breasts, Drop earrings, beige, stain lipstick, Green Silk Bralette and Panty Set
Ruthenium, chain necklace, Female Viking, Tall, Narrow Hips, Heart-Shaped Face, Olive Skin, Platinum Blonde Hair, Amber Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Fishbone Braid, asymmetrical breasts, Huggie earrings, light pink, satin lipstick, Blue Sheer Babydoll with Satin Trim
Tantalum, collar necklace, Phenom, Average Height, Wide Hips, Diamond-Shaped Face, Tan Skin, Dark Brown Hair, ice blue Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Straight Hair, Loose Curls, small breasts, Dangle earrings, red, metallic lipstick, Red Satin Babydoll
Beryllium, friendship bracelet, Songstress, Average Height, Thin, Oval Face, Fair Skin, Strawberry Blonde Hair, amber Eyes, Wide Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Frohawk, natural breasts, Dangle earrings, brown, gloss lipstick, Olive Green Mesh Garter Belt with Stockings
Cadmium, pendant, Dame, Average Height, Slim, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, green Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Curled Bob, perky breasts, Hoop earrings, light pink, metallic lipstick, Navy Blue Satin Garter Belt with Suspenders 
Palladium, flower brooch, Female Viking, Tall, in shape, Round Face, Olive Skin, Gray Hair, coral Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Wedding Updo, firm breasts, Cuff earrings, mauve, stain lipstick, White Sheer Teddy with Lace Trim
